time,axis_x,axis_y,axis_z
0.00999999978,1,4.25772366e-12,-6.35888534e-06
0.0199999996,1,1.04675328e-11,-2.52333191e-05
0.0299999993,0.999999997,1.43257971e-11,-7.28818163e-05
0.0399999991,0.999999987,1.76915887e-11,-0.000158277742
0.0499999989,0.999999961,2.33094789e-11,-0.000279525178
0.0599999987,0.999999907,2.90945934e-11,-0.000431313102
0.0699999984,0.999999814,3.370595e-11,-0.000609176252
0.0799999982,0.999999672,3.69080413e-11,-0.0008098919
0.089999998,0.999999469,3.89585054e-11,-0.00103087183
0.0999999978,0.999999194,4.01399857e-11,-0.00126983249
0.109999998,0.999998838,4.10819227e-11,-0.00152476477
0.119999997,0.999998391,4.22156318e-11,-0.00179384148
0.129999997,0.999997846,4.24311154e-11,-0.00207536898
0.139999997,0.999997196,4.17668675e-11,-0.00236807816
0.149999997,0.999996433,4.08572617e-11,-0.00267084751
0.159999996,0.999995552,3.9401913e-11,-0.00298261432
0.169999996,0.999994547,3.74235504e-11,-0.00330242401
0.179999996,0.999993414,3.51250814e-11,-0.00362943741
0.189999996,0.999992148,3.26673168e-11,-0.00396291521
0.199999996,0.999990745,3.01373559e-11,-0.00430220147
0.209999995,0.999989204,2.7584925e-11,-0.00464671188
0.219999995,0.99998752,2.50459645e-11,-0.00499592529
0.229999995,0.999985692,2.22853373e-11,-0.00534937689
0.239999995,0.999983717,1.91085006e-11,-0.00570665148
0.249999994,0.999981593,1.60648506e-11,-0.00606737826
0.259999994,0.999979319,1.33775029e-11,-0.00643123196
0.269999994,0.999976894,1.15771908e-11,-0.00679792971
0.279999994,0.999974315,1.07147786e-11,-0.00716720527
0.289999994,0.999971583,9.87764351e-12,-0.00753879841
0.299999993,0.999968696,8.66146425e-12,-0.0079124841
0.309999993,0.999965654,7.53368039e-12,-0.00828801308
0.319999993,0.999962457,6.7395042e-12,-0.00866515703
0.329999993,0.999959103,4.82885559e-12,-0.00904386612
0.339999992,0.999955592,1.26212237e-12,-0.00942414306
0.349999992,0.999951922,-3.21974406e-12,-0.00980578675
0.359999992,0.999948095,-8.33349581e-12,-0.0101886237
0.369999992,0.999944109,-1.41944613e-11,-0.0105725479
0.379999992,0.999939965,-2.02112278e-11,-0.0109574922
0.389999991,0.999935661,-2.58988803e-11,-0.0113434304
0.399999991,0.999931198,-3.06265061e-11,-0.0117302513
0.409999991,0.999926576,-3.44456954e-11,-0.0121178303
0.419999991,0.999921796,-3.86716073e-11,-0.0125061017
0.42999999,0.999916856,-4.51602096e-11,-0.012895035
0.43999999,0.999911756,-5.50583541e-11,-0.0132846091
0.44999999,0.999906496,-6.4702463e-11,-0.0136747545
0.45999999,0.999901077,-7.2619967e-11,-0.014065414
0.469999989,0.999895499,-7.98755687e-11,-0.0144565162
0.479999989,0.999889762,-8.70627058e-11,-0.0148480304
0.489999989,0.999883865,-9.39424424e-11,-0.0152399319
0.499999989,0.99987781,-1.0141321e-10,-0.0156321798
0.509999989,0.999871596,-1.0958566e-10,-0.0160247281
0.519999988,0.999865225,-1.18003656e-10,-0.0164174493
0.529999988,0.999858698,-1.26576616e-10,-0.0168102371
0.539999988,0.999852013,-1.35731378e-10,-0.0172032547
0.549999988,0.999845168,-1.45582351e-10,-0.0175965946
0.559999987,0.999838163,-1.56377322e-10,-0.0179902345
0.569999987,0.999830997,-1.6712611e-10,-0.0183841477
0.579999987,0.999823674,-1.76706244e-10,-0.0187782249
0.589999987,0.999816191,-1.84896582e-10,-0.0191724908
0.599999987,0.999808548,-1.92230895e-10,-0.0195669945
0.609999986,0.999800744,-1.99832208e-10,-0.0199617853
0.619999986,0.99979278,-2.09099904e-10,-0.0203567691
0.629999986,0.999784657,-2.18501065e-10,-0.0207518374
0.639999986,0.999776377,-2.26114161e-10,-0.0211470245
0.649999985,0.999767937,-2.32901265e-10,-0.0215423197
0.659999985,0.999759341,-2.38778154e-10,-0.0219376258
0.669999985,0.999750591,-2.44221479e-10,-0.022332839
0.679999985,0.999741685,-2.49746321e-10,-0.0227280081
0.689999985,0.999732623,-2.55371573e-10,-0.0231231993
0.699999984,0.999723403,-2.61062075e-10,-0.0235184664
0.709999984,0.999714025,-2.67369355e-10,-0.0239137586
0.719999984,0.999704492,-2.74110559e-10,-0.0243090053
0.729999984,0.9996948,-2.79578212e-10,-0.0247044044
0.739999983,0.999684936,-2.82559766e-10,-0.0251003779
0.749999983,0.999674908,-2.83540678e-10,-0.0254966393
0.759999983,0.999664721,-2.82912882e-10,-0.0258929576
0.769999983,0.999654377,-2.82247866e-10,-0.0262892739
0.779999983,0.999643878,-2.83302953e-10,-0.0266855341
0.789999982,0.999633223,-2.86592831e-10,-0.0270817245
0.799999982,0.999622411,-2.8944356e-10,-0.0274779125
0.809999982,0.999611442,-2.91880868e-10,-0.027874087
0.819999982,0.999600317,-2.94517462e-10,-0.0282702269
0.829999981,0.999589037,-2.97736649e-10,-0.0286663021
0.839999981,0.999577603,-3.01624223e-10,-0.0290622771
0.849999981,0.999566014,-3.0580361e-10,-0.0294581688
0.859999981,0.99955427,-3.10149198e-10,-0.0298539885
0.869999981,0.999542373,-3.13737184e-10,-0.0302497174
0.87999998,0.999530322,-3.15706631e-10,-0.0306453259
0.88999998,0.999518117,-3.17687216e-10,-0.0310408285
0.89999998,0.999505757,-3.19756114e-10,-0.0314363264
0.90999998,0.999493234,-3.22729535e-10,-0.0318319974
0.919999979,0.999480551,-3.27396165e-10,-0.0322277551
0.929999979,0.999467711,-3.32537495e-10,-0.0326235253
0.939999979,0.999454715,-3.38301247e-10,-0.03301929
0.949999979,0.999441561,-3.45092227e-10,-0.0334150495
0.959999979,0.999428251,-3.51407327e-10,-0.033810807
0.969999978,0.999414785,-3.57237379e-10,-0.0342065429
0.979999978,0.999401161,-3.63104821e-10,-0.034602307
0.989999978,0.999387375,-3.68529607e-10,-0.034998223
0.999999978,0.999373426,-3.7331121e-10,-0.0353942816
1.00999998,0.999359317,-3.76616058e-10,-0.0357904276
1.01999998,0.999345048,-3.78228586e-10,-0.0361866589
1.02999998,0.999330621,-3.79469544e-10,-0.0365829181
1.03999998,0.999316041,-3.80909759e-10,-0.0369790638
1.04999998,0.999301313,-3.81899239e-10,-0.0373749333
1.05999998,0.999286434,-3.81816429e-10,-0.0377706597
1.06999998,0.9992714,-3.80805535e-10,-0.0381663262
1.07999998,0.999256212,-3.7833031e-10,-0.0385619365
1.08999998,0.99924087,-3.76075764e-10,-0.038957467
1.09999998,0.999225374,-3.74169581e-10,-0.0393529273
1.10999998,0.999209723,-3.72945752e-10,-0.0397483312
1.11999997,0.999193918,-3.71934869e-10,-0.0401436744
1.12999997,0.99917796,-3.68822287e-10,-0.0405389247
1.13999997,0.999161846,-3.64067543e-10,-0.04093417
1.14999997,0.999145571,-3.58057833e-10,-0.0413295125
1.15999997,0.999129137,-3.52253483e-10,-0.0417249026
1.16999997,0.999112545,-3.46451938e-10,-0.0421203422
1.17999997,0.999095791,-3.39510064e-10,-0.0425158765
1.18999997,0.999078877,-3.31185286e-10,-0.0429115109
1.19999997,0.999061804,-3.22884789e-10,-0.0433071727
1.20999997,0.999044576,-3.15105521e-10,-0.043702809
1.21999997,0.999027193,-3.07181397e-10,-0.0440983802
1.22999997,0.999009657,-2.98390955e-10,-0.0444938848
1.23999997,0.998991965,-2.89813343e-10,-0.044889346
1.24999997,0.998974118,-2.82043825e-10,-0.0452847895
1.25999997,0.998956111,-2.75616814e-10,-0.0456802829
1.26999997,0.998937943,-2.70345151e-10,-0.0460758689
1.27999997,0.998919616,-2.63995819e-10,-0.0464715046
1.28999997,0.998901131,-2.56324061e-10,-0.0468671584
1.29999997,0.998882487,-2.47831563e-10,-0.0472628588
1.30999997,0.998863681,-2.3825063e-10,-0.0476586545
1.31999997,0.998844717,-2.27633464e-10,-0.0480544701
1.32999997,0.998825595,-2.16605179e-10,-0.0484502954
1.33999997,0.998806314,-2.05842422e-10,-0.0488461507
1.34999997,0.998786882,-1.94612323e-10,-0.0492419061
1.35999997,0.998767306,-1.827743e-10,-0.0496373666
1.36999997,0.998747584,-1.72374659e-10,-0.0500326285
1.37999997,0.998727714,-1.62482606e-10,-0.0504276973
1.38999997,0.998707693,-1.53213596e-10,-0.0508226746
