time,T_dna,T_res
250.010000,-1.06599912e+02,-7.51845754e+01
250.015000,-1.06599928e+02,-7.51845901e+01
250.020000,-1.06599915e+02,-7.51845768e+01
250.025000,-1.06599757e+02,-7.51844189e+01
250.030000,-1.06599265e+02,-7.51839266e+01
250.035000,-1.06598256e+02,-7.51829172e+01
250.040000,-1.06596635e+02,-7.51812960e+01
250.045000,-1.06594481e+02,-7.51791423e+01
250.050000,-1.06592097e+02,-7.51767589e+01
250.055000,-1.06589978e+02,-7.51746394e+01
250.060000,-1.06588722e+02,-7.51733840e+01
250.065000,-1.06588956e+02,-7.51736180e+01
250.070000,-1.06591275e+02,-7.51759374e+01
250.075000,-1.06596216e+02,-7.51808791e+01
250.080000,-1.06604238e+02,-7.51889020e+01
250.085000,-1.06615711e+02,-7.52003747e+01
250.090000,-1.06630905e+02,-7.52155697e+01
250.095000,-1.06650002e+02,-7.52346672e+01
250.100000,-1.06673099e+02,-7.52577644e+01
250.105000,-1.06700222e+02,-7.52848876e+01
250.110000,-1.06731337e+02,-7.53160036e+01
250.115000,-1.06766362e+02,-7.53510286e+01
250.120000,-1.06805172e+02,-7.53898384e+01
250.125000,-1.06847610e+02,-7.54322766e+01
250.130000,-1.06893496e+02,-7.54781632e+01
250.135000,-1.06942634e+02,-7.55273013e+01
250.140000,-1.06994816e+02,-7.55794829e+01
250.145000,-1.07049826e+02,-7.56344931e+01
250.150000,-1.07107447e+02,-7.56921143e+01
250.155000,-1.07167463e+02,-7.57521295e+01
250.160000,-1.07229658e+02,-7.58143248e+01
250.165000,-1.07293825e+02,-7.58784917e+01
250.170000,-1.07359762e+02,-7.59444284e+01
250.175000,-1.07427275e+02,-7.60119406e+01
250.180000,-1.07496177e+02,-7.60808428e+01
250.185000,-1.07566293e+02,-7.61509584e+01
250.190000,-1.07637455e+02,-7.62221200e+01
250.195000,-1.07709506e+02,-7.62941696e+01
250.200000,-1.07782295e+02,-7.63669586e+01
250.205000,-1.07855684e+02,-7.64403472e+01
250.210000,-1.07929542e+02,-7.65142047e+01
250.215000,-1.08003747e+02,-7.65884088e+01
250.220000,-1.08078184e+02,-7.66628458e+01
250.225000,-1.08152749e+02,-7.67374097e+01
250.230000,-1.08227342e+02,-7.68120024e+01
250.235000,-1.08301873e+02,-7.68865330e+01
250.240000,-1.08376259e+02,-7.69609175e+01
250.245000,-1.08450421e+02,-7.70350788e+01
250.250000,-1.08524288e+02,-7.71089458e+01
250.255000,-1.08597797e+02,-7.71824535e+01
250.260000,-1.08670886e+02,-7.72555426e+01
250.265000,-1.08743503e+02,-7.73281590e+01
250.270000,-1.08815598e+02,-7.74002534e+01
250.275000,-1.08887127e+02,-7.74717812e+01
250.280000,-1.08958048e+02,-7.75427019e+01
250.285000,-1.09028326e+02,-7.76129788e+01
250.290000,-1.09097927e+02,-7.76825792e+01
250.295000,-1.09166822e+02,-7.77514733e+01
250.300000,-1.09234984e+02,-7.78196350e+01
250.305000,-1.09302391e+02,-7.78870410e+01
250.310000,-1.09369021e+02,-7.79536709e+01
250.315000,-1.09434858e+02,-7.80195070e+01
250.320000,-1.09499886e+02,-7.80845344e+01
250.325000,-1.09564093e+02,-7.81487403e+01
250.330000,-1.09627467e+02,-7.82121141e+01
250.335000,-1.09690001e+02,-7.82746474e+01
250.340000,-1.09751687e+02,-7.83363332e+01
250.345000,-1.09812521e+02,-7.83971662e+01
250.350000,-1.09872498e+02,-7.84571425e+01
250.355000,-1.09931615e+02,-7.85162592e+01
250.360000,-1.09989872e+02,-7.85745148e+01
250.365000,-1.10047266e+02,-7.86319086e+01
250.370000,-1.10103799e+02,-7.86884411e+01
250.375000,-1.10159472e+02,-7.87441137e+01
250.380000,-1.10214288e+02,-7.87989285e+01
250.385000,-1.10268248e+02,-7.88528888e+01
250.390000,-1.10321358e+02,-7.89059982e+01
250.395000,-1.10373622e+02,-7.89582613e+01
250.400000,-1.10425044e+02,-7.90096830e+01
250.405000,-1.10475631e+02,-7.90602688e+01
250.410000,-1.10525387e+02,-7.91100244e+01
250.415000,-1.10574319e+02,-7.91589563e+01
250.420000,-1.10622434e+02,-7.92070709e+01
