time,T_dna,T_res
250.565000,-1.55704753e+02,-1.24289032e+02
250.570000,-1.55708659e+02,-1.24292937e+02
250.575000,-1.55711671e+02,-1.24295949e+02
250.580000,-1.55713794e+02,-1.24298071e+02
250.585000,-1.55715042e+02,-1.24299319e+02
250.590000,-1.55715467e+02,-1.24299744e+02
250.595000,-1.55715153e+02,-1.24299430e+02
250.600000,-1.55714181e+02,-1.24298457e+02
250.605000,-1.55712583e+02,-1.24296859e+02
250.610000,-1.55710393e+02,-1.24294668e+02
250.615000,-1.55707635e+02,-1.24291909e+02
250.620000,-1.55704307e+02,-1.24288582e+02
250.625000,-1.55700393e+02,-1.24284668e+02
250.630000,-1.55695863e+02,-1.24280138e+02
250.635000,-1.55690714e+02,-1.24274988e+02
250.640000,-1.55684963e+02,-1.24269237e+02
250.645000,-1.55678645e+02,-1.24262919e+02
250.650000,-1.55671806e+02,-1.24256080e+02
250.655000,-1.55664485e+02,-1.24248760e+02
250.660000,-1.55656713e+02,-1.24240987e+02
250.665000,-1.55648513e+02,-1.24232788e+02
250.670000,-1.55639908e+02,-1.24224184e+02
250.675000,-1.55630909e+02,-1.24215184e+02
250.680000,-1.55621514e+02,-1.24205789e+02
250.685000,-1.55611725e+02,-1.24196001e+02
250.690000,-1.55601557e+02,-1.24185831e+02
250.695000,-1.55591025e+02,-1.24175302e+02
250.700000,-1.55580158e+02,-1.24164433e+02
250.705000,-1.55568953e+02,-1.24153230e+02
250.710000,-1.55557409e+02,-1.24141686e+02
250.715000,-1.55545526e+02,-1.24129803e+02
250.720000,-1.55533326e+02,-1.24117603e+02
250.725000,-1.55520832e+02,-1.24105108e+02
250.730000,-1.55508032e+02,-1.24092308e+02
250.735000,-1.55494902e+02,-1.24079178e+02
250.740000,-1.55481419e+02,-1.24065695e+02
250.745000,-1.55467564e+02,-1.24051840e+02
250.750000,-1.55453308e+02,-1.24037585e+02
250.755000,-1.55438648e+02,-1.24022925e+02
250.760000,-1.55423593e+02,-1.24007871e+02
250.765000,-1.55408161e+02,-1.23992436e+02
250.770000,-1.55392361e+02,-1.23976638e+02
250.775000,-1.55376239e+02,-1.23960517e+02
250.780000,-1.55359820e+02,-1.23944096e+02
250.785000,-1.55343098e+02,-1.23927375e+02
250.790000,-1.55326068e+02,-1.23910345e+02
250.795000,-1.55308762e+02,-1.23893040e+02
250.800000,-1.55291228e+02,-1.23875505e+02
250.805000,-1.55273466e+02,-1.23857743e+02
250.810000,-1.55255478e+02,-1.23839756e+02
250.815000,-1.55237271e+02,-1.23821548e+02
250.820000,-1.55218858e+02,-1.23803135e+02
250.825000,-1.55200272e+02,-1.23784550e+02
250.830000,-1.55181561e+02,-1.23765838e+02
250.835000,-1.55162749e+02,-1.23747027e+02
250.840000,-1.55143873e+02,-1.23728151e+02
250.845000,-1.55124956e+02,-1.23709236e+02
250.850000,-1.55105999e+02,-1.23690278e+02
250.855000,-1.55086973e+02,-1.23671253e+02
250.860000,-1.55067850e+02,-1.23652129e+02
250.865000,-1.55048595e+02,-1.23632873e+02
250.870000,-1.55029199e+02,-1.23613478e+02
250.875000,-1.55009681e+02,-1.23593961e+02
250.880000,-1.54990054e+02,-1.23574332e+02
250.885000,-1.54970319e+02,-1.23554598e+02
250.890000,-1.54950488e+02,-1.23534768e+02
250.895000,-1.54930570e+02,-1.23514851e+02
250.900000,-1.54910553e+02,-1.23494832e+02
250.905000,-1.54890408e+02,-1.23474687e+02
250.910000,-1.54870123e+02,-1.23454406e+02
250.915000,-1.54849709e+02,-1.23433991e+02
250.920000,-1.54829148e+02,-1.23413430e+02
250.925000,-1.54808422e+02,-1.23392703e+02
250.930000,-1.54787491e+02,-1.23371773e+02
250.935000,-1.54766331e+02,-1.23350613e+02
250.940000,-1.54744935e+02,-1.23329216e+02
250.945000,-1.54723305e+02,-1.23307587e+02
250.950000,-1.54701473e+02,-1.23285755e+02
250.955000,-1.54679483e+02,-1.23263765e+02
250.960000,-1.54657376e+02,-1.23241658e+02
250.965000,-1.54635165e+02,-1.23219448e+02
250.970000,-1.54612841e+02,-1.23197125e+02
250.975000,-1.54590414e+02,-1.23174696e+02
250.980000,-1.54567898e+02,-1.23152181e+02
250.985000,-1.54545327e+02,-1.23129611e+02
250.990000,-1.54522779e+02,-1.23107063e+02
250.995000,-1.54500372e+02,-1.23084657e+02
251.000000,-1.54478167e+02,-1.23062452e+02
251.005000,-1.54456171e+02,-1.23040455e+02
251.010000,-1.54434364e+02,-1.23018649e+02
251.015000,-1.54412756e+02,-1.22997041e+02
251.020000,-1.54391358e+02,-1.22975643e+02
251.025000,-1.54370110e+02,-1.22954395e+02
251.030000,-1.54348938e+02,-1.22933224e+02
251.035000,-1.54327796e+02,-1.22912081e+02
251.040000,-1.54306637e+02,-1.22890922e+02
251.045000,-1.54285438e+02,-1.22869724e+02
251.050000,-1.54264211e+02,-1.22848497e+02
251.055000,-1.54242978e+02,-1.22827264e+02
251.060000,-1.54221749e+02,-1.22806034e+02
251.065000,-1.54200521e+02,-1.22784807e+02
251.070000,-1.54179301e+02,-1.22763587e+02
251.075000,-1.54158083e+02,-1.22742370e+02
251.080000,-1.54136874e+02,-1.22721161e+02
251.085000,-1.54115681e+02,-1.22699967e+02
251.090000,-1.54094480e+02,-1.22678765e+02
251.095000,-1.54073212e+02,-1.22657498e+02
251.100000,-1.54051821e+02,-1.22636107e+02
251.105000,-1.54030268e+02,-1.22614555e+02
251.110000,-1.54008558e+02,-1.22592845e+02
251.115000,-1.53986722e+02,-1.22571008e+02
251.120000,-1.53964795e+02,-1.22549081e+02
251.125000,-1.53942783e+02,-1.22527071e+02
251.130000,-1.53920699e+02,-1.22504985e+02
251.135000,-1.53898533e+02,-1.22482819e+02
251.140000,-1.53876300e+02,-1.22460585e+02
251.145000,-1.53854027e+02,-1.22438312e+02
251.150000,-1.53831735e+02,-1.22416021e+02
251.155000,-1.53809445e+02,-1.22393730e+02
251.160000,-1.53787165e+02,-1.22371451e+02
251.165000,-1.53764922e+02,-1.22349208e+02
251.170000,-1.53742731e+02,-1.22327016e+02
251.175000,-1.53720590e+02,-1.22304876e+02
251.180000,-1.53698505e+02,-1.22282792e+02
251.185000,-1.53676454e+02,-1.22260740e+02
251.190000,-1.53654401e+02,-1.22238687e+02
251.195000,-1.53632327e+02,-1.22216613e+02
251.200000,-1.53610251e+02,-1.22194539e+02
251.205000,-1.53588205e+02,-1.22172494e+02
251.210000,-1.53566186e+02,-1.22150476e+02
251.215000,-1.53544195e+02,-1.22128483e+02
251.220000,-1.53522229e+02,-1.22106518e+02
251.225000,-1.53500288e+02,-1.22084577e+02
251.230000,-1.53478353e+02,-1.22062642e+02
251.235000,-1.53456413e+02,-1.22040703e+02
251.240000,-1.53434467e+02,-1.22018756e+02
251.245000,-1.53412511e+02,-1.21996802e+02
251.250000,-1.53390542e+02,-1.21974833e+02
251.255000,-1.53368541e+02,-1.21952833e+02
251.260000,-1.53346491e+02,-1.21930785e+02
251.265000,-1.53324399e+02,-1.21908690e+02
251.270000,-1.53302274e+02,-1.21886566e+02
251.275000,-1.53280138e+02,-1.21864429e+02
251.280000,-1.53258004e+02,-1.21842296e+02
251.285000,-1.53235901e+02,-1.21820194e+02
251.290000,-1.53213822e+02,-1.21798115e+02
251.295000,-1.53191736e+02,-1.21776028e+02
251.300000,-1.53169614e+02,-1.21753907e+02
251.305000,-1.53147446e+02,-1.21731737e+02
251.310000,-1.53125237e+02,-1.21709530e+02
251.315000,-1.53103048e+02,-1.21687342e+02
251.320000,-1.53080914e+02,-1.21665209e+02
251.325000,-1.53058855e+02,-1.21643150e+02
251.330000,-1.53036874e+02,-1.21621169e+02
251.335000,-1.53014960e+02,-1.21599255e+02
251.340000,-1.52993121e+02,-1.21577415e+02
251.345000,-1.52971353e+02,-1.21555647e+02
251.350000,-1.52949637e+02,-1.21533933e+02
251.355000,-1.52927965e+02,-1.21512260e+02
251.360000,-1.52906325e+02,-1.21490621e+02
251.365000,-1.52884743e+02,-1.21469039e+02
251.370000,-1.52863250e+02,-1.21447547e+02
251.375000,-1.52841849e+02,-1.21426145e+02
251.380000,-1.52820538e+02,-1.21404836e+02
251.385000,-1.52799325e+02,-1.21383622e+02
251.390000,-1.52778197e+02,-1.21362495e+02
251.395000,-1.52757133e+02,-1.21341431e+02
251.400000,-1.52736116e+02,-1.21320414e+02
251.405000,-1.52715138e+02,-1.21299436e+02
251.410000,-1.52694194e+02,-1.21278492e+02
251.415000,-1.52673278e+02,-1.21257575e+02
251.420000,-1.52652374e+02,-1.21236671e+02
251.425000,-1.52631458e+02,-1.21215756e+02
251.430000,-1.52610516e+02,-1.21194813e+02
251.435000,-1.52589543e+02,-1.21173841e+02
251.440000,-1.52568541e+02,-1.21152838e+02
251.445000,-1.52547510e+02,-1.21131808e+02
251.450000,-1.52526444e+02,-1.21110742e+02
251.455000,-1.52505337e+02,-1.21089636e+02
251.460000,-1.52484210e+02,-1.21068506e+02
251.465000,-1.52463038e+02,-1.21047337e+02
251.470000,-1.52441820e+02,-1.21026118e+02
251.475000,-1.52420574e+02,-1.21004872e+02
251.480000,-1.52399331e+02,-1.20983630e+02
251.485000,-1.52378120e+02,-1.20962418e+02
251.490000,-1.52356950e+02,-1.20941248e+02
251.495000,-1.52335824e+02,-1.20920122e+02
251.500000,-1.52314730e+02,-1.20899029e+02
251.505000,-1.52293655e+02,-1.20877953e+02
251.510000,-1.52272591e+02,-1.20856891e+02
251.515000,-1.52251552e+02,-1.20835853e+02
251.520000,-1.52230558e+02,-1.20814856e+02
251.525000,-1.52209621e+02,-1.20793921e+02
251.530000,-1.52188761e+02,-1.20773060e+02
251.535000,-1.52167960e+02,-1.20752259e+02
251.540000,-1.52147213e+02,-1.20731511e+02
251.545000,-1.52126515e+02,-1.20710813e+02
251.550000,-1.52105865e+02,-1.20690164e+02
251.555000,-1.52085260e+02,-1.20669561e+02
251.560000,-1.52064705e+02,-1.20649005e+02
251.565000,-1.52044183e+02,-1.20628485e+02
251.570000,-1.52023708e+02,-1.20608010e+02
251.575000,-1.52003302e+02,-1.20587602e+02
251.580000,-1.51982955e+02,-1.20567258e+02
251.585000,-1.51962656e+02,-1.20546959e+02
251.590000,-1.51942367e+02,-1.20526670e+02
251.595000,-1.51922075e+02,-1.20506378e+02
251.600000,-1.51901764e+02,-1.20486068e+02
251.605000,-1.51881424e+02,-1.20465726e+02
251.610000,-1.51861034e+02,-1.20445338e+02
251.615000,-1.51840597e+02,-1.20424901e+02
251.620000,-1.51820122e+02,-1.20404425e+02
251.625000,-1.51799619e+02,-1.20383921e+02
251.630000,-1.51779107e+02,-1.20363410e+02
251.635000,-1.51758632e+02,-1.20342936e+02
251.640000,-1.51738228e+02,-1.20322531e+02
251.645000,-1.51717901e+02,-1.20302203e+02
251.650000,-1.51697657e+02,-1.20281961e+02
251.655000,-1.51677527e+02,-1.20261831e+02
251.660000,-1.51657508e+02,-1.20241809e+02
251.665000,-1.51637603e+02,-1.20221906e+02
251.670000,-1.51617839e+02,-1.20202142e+02
251.675000,-1.51598180e+02,-1.20182485e+02
251.680000,-1.51578579e+02,-1.20162883e+02
251.685000,-1.51559038e+02,-1.20143343e+02
251.690000,-1.51539602e+02,-1.20123907e+02
251.695000,-1.51520288e+02,-1.20104592e+02
251.700000,-1.51501117e+02,-1.20085423e+02
251.705000,-1.51482128e+02,-1.20066434e+02
251.710000,-1.51463334e+02,-1.20047640e+02
251.715000,-1.51444719e+02,-1.20029026e+02
251.720000,-1.51426233e+02,-1.20010539e+02
251.725000,-1.51407823e+02,-1.19992131e+02
251.730000,-1.51389458e+02,-1.19973766e+02
251.735000,-1.51371116e+02,-1.19955423e+02
251.740000,-1.51352786e+02,-1.19937093e+02
251.745000,-1.51334461e+02,-1.19918769e+02
251.750000,-1.51316131e+02,-1.19900440e+02
251.755000,-1.51297782e+02,-1.19882092e+02
251.760000,-1.51279415e+02,-1.19863724e+02
251.765000,-1.51261034e+02,-1.19845343e+02
251.770000,-1.51242616e+02,-1.19826927e+02
251.775000,-1.51224163e+02,-1.19808472e+02
251.780000,-1.51205697e+02,-1.19790005e+02
251.785000,-1.51187255e+02,-1.19771564e+02
251.790000,-1.51168850e+02,-1.19753160e+02
251.795000,-1.51150507e+02,-1.19734816e+02
251.800000,-1.51132229e+02,-1.19716538e+02
251.805000,-1.51114014e+02,-1.19698323e+02
251.810000,-1.51095858e+02,-1.19680166e+02
251.815000,-1.51077754e+02,-1.19662063e+02
251.820000,-1.51059698e+02,-1.19644008e+02
