time,u,gap
3.344000,-2.828892e-02,9.43321000e-03
3.345000,-2.826150e-02,9.40494000e-03
3.346000,-2.823361e-02,9.37671000e-03
3.347000,-2.819674e-02,9.34851000e-03
3.348000,-2.816344e-02,9.32035000e-03
3.349000,-2.813696e-02,9.29221000e-03
3.350000,-2.811827e-02,9.26410000e-03
3.351000,-2.809541e-02,9.23600000e-03
3.352000,-2.807372e-02,9.20793000e-03
3.353000,-2.804386e-02,9.17988000e-03
3.354000,-2.801843e-02,9.15186000e-03
3.355000,-2.799191e-02,9.12387000e-03
3.356000,-2.796529e-02,9.09591000e-03
3.357000,-2.794002e-02,9.06797000e-03
3.358000,-2.790963e-02,9.04006000e-03
3.359000,-2.787816e-02,9.01218000e-03
3.360000,-2.784608e-02,8.98433000e-03
3.361000,-2.781138e-02,8.95652000e-03
3.362000,-2.777495e-02,8.92875000e-03
3.363000,-2.773179e-02,8.90102000e-03
3.364000,-2.769628e-02,8.87332000e-03
3.365000,-2.766383e-02,8.84565000e-03
3.366000,-2.762945e-02,8.81803000e-03
3.367000,-2.759106e-02,8.79043000e-03
3.368000,-2.755871e-02,8.76288000e-03
3.369000,-2.753384e-02,8.73534000e-03
3.370000,-2.750938e-02,8.70783000e-03
3.371000,-2.748311e-02,8.68035000e-03
3.372000,-2.745748e-02,8.65289000e-03
3.373000,-2.742552e-02,8.62547000e-03
3.374000,-2.739783e-02,8.59807000e-03
3.375000,-2.737026e-02,8.57070000e-03
3.376000,-2.734091e-02,8.54336000e-03
3.377000,-2.731328e-02,8.51604000e-03
3.378000,-2.727725e-02,8.48877000e-03
3.379000,-2.724303e-02,8.46152000e-03
3.380000,-2.720715e-02,8.43432000e-03
3.381000,-2.716752e-02,8.40715000e-03
3.382000,-2.712892e-02,8.38002000e-03
3.383000,-2.708369e-02,8.35294000e-03
3.384000,-2.704403e-02,8.32589000e-03
3.385000,-2.701234e-02,8.29888000e-03
3.386000,-2.698248e-02,8.27190000e-03
3.387000,-2.694151e-02,8.24496000e-03
3.388000,-2.690067e-02,8.21806000e-03
3.389000,-2.686605e-02,8.19119000e-03
3.390000,-2.684341e-02,8.16435000e-03
3.391000,-2.681728e-02,8.13753000e-03
3.392000,-2.678878e-02,8.11074000e-03
3.393000,-2.675678e-02,8.08398000e-03
3.394000,-2.672561e-02,8.05726000e-03
3.395000,-2.669776e-02,8.03056000e-03
